food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Egg cutlet (Anda cutlet),5.7502,0.0245,0.0577,0.6025,0.0058,0.002,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Minced meat cutlet,5.3186,0.051,0.0561,0.5447,0.004,0.0031,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable samosa,4.4311,0.0221,0.1322,0.4222,0.0152,0.0074,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),7.455,0.0439,0.097,0.7632,0.0227,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Masala urad dal vada,7.0378,0.0432,0.0993,0.7162,0.0271,0.007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Khaman (dhokla),0.5473,0.0192,0.0536,0.028,0.0149,0.0136,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Instant dhokla,2.0711,0.0766,0.2411,0.0937,0.0357,0.0686,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Tomato ginger chutney (Tamatar adarak ki chutney),0.4466,0.0105,0.0911,0.0032,0.0214,0.0631,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mint tomato chutney (Pudinay aur tamatar ki chutney),0.4365,0.0153,0.0822,0.0036,0.0263,0.0548,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Coriander chutney (Hare dhaniye ki chutney),0.4286,0.0138,0.0816,0.0037,0.0247,0.055,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Gooseberry chutney (Amla chutney),0.4302,0.0144,0.0883,0.0062,0.0458,0.0006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Walnut chutney (Akhrot ki chutney),3.7043,0.0944,0.0891,0.3346,0.0304,0.044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Saunth/Sonth chutney with ginger,0.8422,0.0028,0.2062,0.0011,0.0031,0.1904,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Gun powder chutney,3.1234,0.2155,0.4765,0.0267,0.1395,0.0116,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,3.4636,0.1288,0.3672,0.1588,0.1316,0.1041,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Curd mint dip ,0.7613,0.0482,0.0911,0.0244,0.0077,0.0783,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Curd vegetable dip,0.5621,0.0388,0.0604,0.0194,0.0063,0.0542,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mayonnaise vegetable dip,2.4127,0.0301,0.048,0.2344,0.0041,0.0439,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),1.5068,0.0403,0.2051,0.0631,0.021,0.0179,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Tomato sandwich (grilled),1.8992,0.0626,0.2129,0.0939,0.0191,0.0258,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
French sandwich (toasted),1.8675,0.0682,0.1482,0.1151,0.0137,0.0182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Peanut butter cucumber sandwich,2.4333,0.0904,0.2976,0.1056,0.0335,0.0291,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Mint and peanut sandwich,2.7359,0.0718,0.3183,0.1388,0.0367,0.0278,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spicy chutney sandwich,2.4958,0.0874,0.3403,0.0958,0.0373,0.0396,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),2.8578,0.1258,0.2262,0.1677,0.0153,0.0177,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Rolled sandwich,2.9307,0.0645,0.3469,0.1529,0.0207,0.027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Ribbon sandwich,2.3926,0.0626,0.2476,0.1337,0.0292,0.0466,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Checker board sandwich,3.4837,0.0737,0.2594,0.2465,0.0222,0.029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Submarine sandwich,2.1692,0.0609,0.136,0.1532,0.0124,0.025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese open sandwich,2.7407,0.0984,0.2842,0.1424,0.0174,0.0324,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sunset and sunrise open sandwich,2.4131,0.0858,0.1889,0.1514,0.0139,0.0195,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Danish luncheon sandwich,1.9382,0.0903,0.1777,0.101,0.0152,0.0113,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chicken and corn open sandwich,1.8816,0.0863,0.1921,0.0883,0.0167,0.0248,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate sponge cake,2.3986,0.0913,0.3954,0.0551,0.0052,0.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate swiss roll,3.0608,0.0601,0.2697,0.1976,0.0029,0.1883,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lemon curd filling,2.2562,0.0343,0.2641,0.1258,0,0.2613,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Jam filling,1.8462,0,0.4615,0,0,0.4154,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate pastry,2.4337,0.0705,0.3224,0.1012,0.0032,0.2234,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Assorted pastry,2.3074,0.0678,0.3199,0.0891,0.0043,0.197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange gateau,1.7805,0.0478,0.2701,0.0602,0.0068,0.1833,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Black forest gateau,2.1782,0.0594,0.3057,0.0858,0.0028,0.2197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lemon cake,3.7385,0.0529,0.431,0.2063,0.0062,0.2584,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Dundee cake,3.9662,0.0778,0.414,0.227,0.0181,0.213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Victorian sandwich cake,3.7309,0.0518,0.4474,0.1983,0.0059,0.2818,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate eggless cake,3.1201,0.0666,0.4345,0.1319,0.0032,0.342,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange eggless cake,3.5562,0.0716,0.5265,0.1382,0.0056,0.3787,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate glace icing,4.3629,0.0322,0.6243,0.208,0,0.5988,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Butter icing,5.0072,0.0019,0.7164,0.2537,0,0.7164,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate butter icing,4.6959,0.0321,0.6172,0.2477,0,0.5982,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Almond biscuit (Badam ke biscuit),4.0774,0.0625,0.5214,0.197,0.015,0.2219,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange biscuit,3.5478,0.0363,0.6211,0.1101,0.0075,0.4263,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Gingerman biscuit,3.5743,0.0626,0.5524,0.1273,0.02,0.2164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Coffee drops,4.4307,0.0757,0.4306,0.2716,0.0188,0.1827,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Christmas biscuit,4.0607,0.0567,0.6097,0.1588,0.0217,0.2601,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Christmas wreath biscuit,3.8605,0.0543,0.5807,0.1501,0.0228,0.2489,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Christmas bell biscuit,4.0485,0.0566,0.6079,0.1584,0.0233,0.2594,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Christmas star biscuit,3.9203,0.0354,0.7454,0.1004,0.0147,0.5305,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Christmas tree biscuit,3.8563,0.0543,0.5841,0.15,0.0265,0.2477,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chocolate cream shells,4.2717,0.051,0.5926,0.1934,0.009,0.3472,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Jelly biscuit,4.0461,0.0423,0.5524,0.1933,0.0202,0.2976,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cherry and walnut cookies,4.226,0.0563,0.5935,0.1875,0.013,0.3037,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cheese straws,3.82,0.0983,0.3061,0.2428,0.0129,0.0179,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Butterfly biscuit,3.4145,0.0998,0.2533,0.2211,0.0102,0.0244,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Flan pastry,4.458,0.0672,0.4784,0.2504,0.0158,0.0622,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fruit flan,2.6135,0.033,0.3471,0.1248,0.0071,0.0952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange cream flan,2.8028,0.0473,0.3616,0.1359,0.0063,0.2527,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fruit puree tart,2.865,0.0335,0.3042,0.1683,0.0131,0.0979,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Apple banana pie,2.4399,0.0313,0.3212,0.1139,0.0189,0.1296,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lemon chiffon pie,2.5931,0.0488,0.2763,0.1452,0.0066,0.1139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Orange chiffon pie,2.0757,0.0389,0.2314,0.1116,0.007,0.1046,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream buns,2.1574,0.0445,0.1416,0.1581,0.0031,0.0595,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
