food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Lentil soup,31.17,9.65,3.94,11.68,2.57,1.06,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken consomme (Clear chicken soup),47.94,11.47,1.19,12.02,1.57,0.54,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream of tomato soup,97.81,4.61,3.93,13.12,1.38,1.81,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream of green peas soup,127.84,7.13,6.75,14.78,2.95,1.61,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream of spinach soup,100.54,5.21,3.45,13.31,1.74,1.13,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream of mixed vegetable soup,59.65,6.84,4.93,9.05,2.14,2.1,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cream of mushroom soup,117.28,6.64,3.74,15.5,1.34,1.93,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken sweet corn soup,28.32,14.48,1.63,12.59,0.47,0.27,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Minestrone soup,42.66,9.3,3.71,11.09,1.92,1.01,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Egg drop soup,26.64,12.93,1.1,13.52,0.81,0.6,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Chinese cabbage and meat ball soup,484.31,5.21,1.43,56.57,0.57,0.37,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
French onion soup,55.61,11.41,4.28,14.39,1.01,1.5,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Hot and sour soup,31.51,3.12,1.78,1.31,0.6,0.66,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Talaumein soup,35.63,10.12,4.17,12.78,1.94,0.77,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cold cucumber soup (Thanda kheere ka soup),48.03,2.99,4.58,1.99,0.88,3.34,True,False,True,True,False,True,True,True,True,True,inferred_from_dish_name_keywords
Cold summer garden soup,49.19,8.57,2.65,14.08,1.86,0.46,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chapati/Roti,202.31,5.88,35.65,3.56,6.31,1.0,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Plain parantha/paratha,298.3,5.06,30.69,16.86,5.43,0.86,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,3.7,23.92,10.22,4.18,1.15,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,3.3,20.54,9.53,4.32,1.31,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,3.73,18.84,9.47,4.68,1.15,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dal parantha/paratha,268.24,6.78,30.03,13.05,6.46,1.43,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sprouted moong parantha/paratha,228.59,4.29,24.31,12.43,4.49,1.47,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea parantha/paratha (Matar ka parantha/paratha),190.73,5.59,21.51,8.8,5.61,1.29,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Keema parantha/paratha,238.09,9.41,18.36,13.91,3.44,0.99,False,False,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer parantha/paratha,262.97,7.98,24.33,14.62,4.0,3.77,True,False,False,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,5.54,21.39,12.09,4.39,1.31,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Poori,737.63,1.35,8.22,77.61,1.46,0.23,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach poori (Palak poori),684.25,1.42,7.76,71.86,1.55,0.24,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Methi poori,710.02,1.45,7.98,74.6,1.61,0.26,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dal stuffed poori,785.16,2.08,10.14,81.69,1.96,0.29,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato stuffed poori (Aloo ki poori),776.74,1.52,9.4,81.35,1.64,0.26,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Tandoori parantha/paratha,295.37,5.08,30.74,16.51,5.44,0.86,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Boiled rice (Uble chawal),117.19,2.6,25.72,0.18,1.25,0.22,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Plain pulao,140.21,2.34,21.82,4.62,1.69,1.15,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mixed vegetable pulao,113.05,2.72,17.49,3.33,2.67,1.35,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mushroom pulao,124.29,2.52,19.02,4.03,1.88,1.0,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sprouted moong pulao,112.97,2.19,17.49,3.61,1.78,1.43,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer pulao,581.91,1.98,8.76,59.81,0.62,1.11,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Peanut pulao ,193.28,5.32,21.18,9.51,2.9,1.6,True,True,True,True,True,False,True,True,True,True,inferred_from_dish_name_keywords
Navratan pulao,261.71,6.2,36.98,9.45,3.82,2.52,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,4.88,27.57,4.82,3.15,2.48,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mutton biryani/biriyani,190.76,7.38,22.5,7.72,2.42,2.39,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable biryani/biriyani,174.61,3.16,18.56,9.51,3.31,2.14,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,4.26,21.62,7.88,2.52,0.78,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sweet rice (Meethe chawal),215.41,2.1,42.59,4.57,1.13,24.8,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,5.75,32.93,4.32,2.13,3.91,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,7.45,65.08,8.53,5.12,11.65,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spanish rice,164.24,4.19,31.1,2.23,2.78,1.26,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chinese fried rice,120.58,4.05,13.4,5.43,2.31,1.47,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Macroni cheese pie,170.63,5.85,21.1,7.48,0.4,3.4,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Vegetable chowmein,129.71,3.07,15.44,6.36,1.86,1.97,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken chowmein,151.33,6.33,13.3,8.23,1.64,1.63,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cheese noodle ring,133.67,6.22,13.96,6.12,1.27,2.84,True,False,False,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spaghetti and cheese balls in tomato sauce,508.32,2.41,7.82,52.08,0.59,1.83,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Penne platter,177.4,5.04,20.87,8.71,1.09,4.5,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pasta hot pot,125.17,5.84,11.6,6.47,0.8,5.99,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chicken lasagne,187.49,10.45,13.9,10.36,0.11,2.74,False,False,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fettuccine with spinach sauce,129.21,3.1,12.19,7.83,0.77,1.18,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Naan,286.45,8.05,51.75,4.99,1.91,5.59,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Bhatura,793.2,1.63,10.73,82.56,0.38,0.69,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Idli,137.54,4.64,28.18,0.33,2.31,0.28,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Masala dosa,164.58,3.29,19.57,7.84,2.52,1.33,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Semolina dosa (Suji/Rava dosa),227.05,7.3,32.84,7.12,4.04,4.37,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Onion tomato uttapam,462.02,1.91,11.32,45.3,1.26,0.8,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer kaathi roll,285.94,6.92,20.1,19.55,2.4,3.29,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Makki ki roti,263.97,3.49,24.19,16.85,5.19,0.7,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Washed moong dal (Dhuli moong ki dal),50.0,2.68,5.91,1.68,1.17,0.12,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Washed urad dal (Dhuli urad ki dal),61.32,2.51,5.84,2.98,1.53,0.32,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,2.79,7.1,3.6,2.72,1.05,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dry washed urad,124.71,6.85,15.66,3.5,4.06,0.73,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mixed dal,61.93,2.51,5.79,3.1,1.62,0.34,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Whole moong (Moong ki dal),53.7,2.25,5.22,2.56,2.02,0.59,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Whole masoor (Masoor ki dal),54.05,2.28,5.37,2.52,1.98,0.67,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Whole moth (Moth ki dal),55.0,2.01,5.74,2.62,1.85,0.66,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Whole urad (Urad ki dal),53.8,2.21,5.05,2.62,2.32,0.57,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Moti mahal dal (Urad rajmah mix dal),103.13,3.93,8.74,5.66,3.38,1.7,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,5.67,14.11,6.61,7.99,2.36,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Chickpeas curry (Safed channa curry),163.43,6.1,19.98,6.84,4.73,4.78,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lobia curry,148.99,6.06,17.88,5.62,4.57,2.51,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Soyabean curry,163.28,10.43,6.76,10.19,7.34,2.66,True,True,True,True,True,True,True,False,True,True,inferred_from_dish_name_keywords
Kidney bean curry (Rajmah curry),143.73,5.95,16.38,5.77,5.83,2.49,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sambar,96.92,3.35,10.57,4.38,3.52,3.31,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Besan kadhi with pakodies,403.35,1.64,3.56,42.59,0.81,0.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Khatta channa,202.57,6.3,21.14,10.56,5.26,4.75,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Sprouted moong dal chat,32.47,1.35,6.01,0.32,1.35,1.57,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato cauliflower (Aloo gobhi),106.18,1.9,5.99,8.13,3.02,0.44,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato capsicum (Shimla mirch aloo),125.53,1.41,8.72,9.33,2.02,0.54,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cabbage and peas (Pattagobhi aur matar),63.88,3.24,6.24,2.64,3.99,0.97,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Carrot and fenugreek leaves (Gajar methi),61.92,2.1,4.17,3.81,4.43,2.11,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Potato fenugreek (Aloo methi),135.15,2.25,8.47,10.04,2.93,0.54,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Brinjal bhartha (Baingan ka bhartha),65.12,1.38,4.4,4.48,3.27,1.82,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Dry potato (Sookhe aloo),103.15,1.62,14.38,4.18,1.88,0.33,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,2.62,4.39,11.39,5.59,2.06,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,2.64,3.99,11.56,5.27,1.71,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,1.82,4.99,8.62,4.52,2.36,True,True,False,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Raw turnip with coconut ,132.15,1.8,5.78,11.47,2.79,4.4,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Raw papaya with coconut (Papaya thoran),132.75,1.54,5.58,11.42,4.31,3.82,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
