food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Fried fish (Indian style) (Tali hui machli),6.5892,0.0435,0.054,0.6888,0.0061,0.004,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,6.5854
Fried fish and Chips (English Style) (Tali hui machli aur chips),6.5173,0.0336,0.0277,0.6969,0.0029,0.0017,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,6.5175
Tomato fish,4.8947,0.0239,0.0318,0.5191,0.0072,0.0135,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,4.8979
Baked fish with cheese sauce,1.1398,0.0864,0.0406,0.0702,0.0008,0.0322,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,1.1396
Fish tikka,1.1699,0.16,0.0391,0.0415,0.0118,0.0118,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,1.1733
Tandoori fish,0.96,0.1119,0.0237,0.0464,0.0058,0.016,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,0.9598
"Paneer, apple and pineapple salad",0.9455,0.0388,0.0835,0.0507,0.0165,0.0636,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9508
Russian salad,1.136,0.0426,0.065,0.0784,0.0257,0.0166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1483
Pasta salad,1.9268,0.0415,0.127,0.1392,0.0096,0.026,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9036
Deviled egg,0.9828,0.0497,0.0223,0.0772,0.0115,0.0082,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9856
Hawain salad,1.7681,0.0427,0.1435,0.1137,0.0393,0.0524,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7523
Mixed pulse and vegetable salad,0.8236,0.0474,0.1396,0.0084,0.0296,0.0136,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8312
Sprouted moong salad ,0.3774,0.0229,0.0548,0.0074,0.0095,0.0213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3781
Tossed salad,0.6186,0.0102,0.0495,0.0422,0.0215,0.0156,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6296
Mixed vegetable salad with curd sauce,0.5854,0.0423,0.0703,0.015,0.0379,0.0216,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6028
Potato salad (Aloo ka salaad),0.8996,0.014,0.1119,0.044,0.0132,0.0394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8991
Waldroff salad,1.4041,0.0147,0.1102,0.1005,0.0187,0.0823,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4175
Coleslaw,0.752,0.0124,0.0559,0.0532,0.0234,0.0362,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7671
Fruit salad (Phalon ka salaad),0.7846,0.0091,0.1596,0.0122,0.0158,0.0978,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7814
Tomato onion raita (Tamatar aur pyaaz ka raita),0.5984,0.0374,0.0708,0.0184,0.0097,0.0598,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.59
Peanut raita (Mungfali ka raita),1.5238,0.0859,0.093,0.0898,0.0189,0.0711,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.5039
Sprouted moong raita ,0.6271,0.0462,0.0613,0.0219,0.0016,0.0559,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.6089
Bottle gourd raita (Ghiya/Lauki ka raita),0.5759,0.0398,0.0576,0.0207,0.0085,0.0525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5631
Cucumber raita (Kheere ka raita),0.6028,0.0404,0.0635,0.0208,0.0086,0.0522,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5913
Carrot and spinach raita (Gajar aur palak ka raita),0.5723,0.04,0.0583,0.0199,0.0139,0.0493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5683
Mint raita (Pudinay ka raita),0.798,0.0564,0.0765,0.0296,0.0034,0.0748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7759
Potato raita (Aloo ka raita),0.762,0.0422,0.1024,0.0204,0.0075,0.0508,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7538
Boondi raita,6.8907,0.0219,0.0396,0.7383,0.0046,0.0188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.8772
Sweet raita (Meetha raita),1.007,0.0324,0.1793,0.0178,0.0102,0.1536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9924
Dahi vadas/Dahi bhalla,6.674,0.0296,0.0549,0.704,0.0097,0.0178,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.6773
Gunjia,6.6716,0.0298,0.0568,0.7028,0.0113,0.0205,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.6734
Saunth/Sonth chutney with tamarind/imli,1.3959,0.0101,0.3355,0.0015,0.0093,0.3131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4153
Rice kheer (Chawal ki kheer),0.7613,0.023,0.1005,0.0297,0.0017,0.0802,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7503
Makhana kheer,1.0976,0.0331,0.1288,0.05,0.0011,0.1154,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0785
Vermicelli kheer (Semiya/Seviyan ki kheer),1.2188,0.0335,0.1587,0.05,0.005,0.1279,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2007
Semolina kheer (Suji/Rava kheer),1.1504,0.0343,0.1588,0.042,0.0051,0.1288,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1321
Paneer kheer,1.0657,0.0453,0.1003,0.0537,0.0007,0.0987,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0531
Cabbage kheer (Pattagobhi ki kheer),0.846,0.0287,0.0973,0.038,0.0051,0.0928,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8351
Carrot kheer (Gajar ki kheer),0.8625,0.0281,0.1009,0.0385,0.0073,0.0963,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8535
Cauliflower kheer (Phoolgobhi ki kheer),0.8283,0.0304,0.0878,0.0395,0.0055,0.0849,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8195
Moong dal kheer,0.7809,0.0295,0.0989,0.0297,0.004,0.0792,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7716
Phirni,1.1746,0.0349,0.1611,0.0434,0.0036,0.1079,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1612
Semolina halwa (Suji ka halwa),2.2774,0.0216,0.2467,0.1338,0.0186,0.1398,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2565
Shahi suji halwa,3.8725,0.0348,0.4444,0.2173,0.0296,0.2721,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.8234
Carrot halwa (Gajar ka halwa),1.7413,0.0311,0.1853,0.0973,0.0265,0.1685,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7264
Egg halwa (Ande ka halwa),3.1045,0.0785,0.3959,0.1341,0.0049,0.3785,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.9974
Potato halwa (Aloo ka halwa),1.5416,0.0153,0.2918,0.0348,0.0164,0.1742,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.5166
Pumpkin halwa (Kaddu ka halwa),1.9501,0.0133,0.276,0.0881,0.0297,0.2664,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9027
Moong dal halwa,3.5344,0.0835,0.4023,0.1768,0.0265,0.2559,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.498
Caramel custard (steamed),1.2379,0.0497,0.1502,0.0487,0,0.1498,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2158
Baked custard,1.0714,0.0541,0.0945,0.053,0,0.0942,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0653
Soft Custard (stirred),1.1043,0.0501,0.1119,0.0507,0,0.1115,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0918
Chocolate ice cream,1.8077,0.0447,0.1541,0.1125,0,0.1533,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.777
Mango ice cream,1.2674,0.034,0.1114,0.0762,0.0052,0.1101,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2569
Fruit Ice cream (Phalon ka Ice cream),1.751,0.0437,0.1605,0.1038,0.0033,0.1403,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7146
Caramel ice cream,1.7683,0.0431,0.1481,0.1115,0.0008,0.1452,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7352
Lemon souffle,1.717,0.0695,0.1343,0.1002,0,0.1167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6851
Orange souffle,1.7157,0.068,0.142,0.0973,0.0022,0.1231,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6828
Vanilla souffle,1.9067,0.0771,0.1478,0.1119,0,0.1286,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8785
Chocolate souffle,1.9272,0.0788,0.1474,0.1136,0,0.1269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8932
Pineapple souffle ,1.998,0.0806,0.1552,0.1172,0,0.1345,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9614
Apple mousse,1.0635,0.0421,0.1277,0.0427,0.016,0.1056,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0692
Rich chocolate mousse,1.8491,0.0796,0.1084,0.1219,0,0.103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8826
Mango mousse,1.2563,0.0321,0.0914,0.0847,0.0088,0.0889,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2498
Orange and pineapple cream,1.0247,0.0144,0.1196,0.0543,0.0103,0.1137,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0118
Charlotte rousse,1.9514,0.0395,0.3408,0.0478,0.0101,0.2048,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8829
Triffle pudding,1.2005,0.0293,0.1824,0.0393,0.0012,0.1389,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1697
Snow flakes pudding,0.9569,0.0467,0.0807,0.0497,0.0003,0.0801,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9521
Kulfi,1.0034,0.0321,0.113,0.047,0.0012,0.1039,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9843
Steamed orange pudding,2.8384,0.0234,0.4153,0.1204,0.0058,0.2653,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.7803
Meringue and rice pudding,1.1421,0.0484,0.146,0.0405,0.0017,0.1087,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1293
Cheese pudding,2.8757,0.1129,0.1927,0.1837,0.0005,0.1863,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.8501
Chocolate pudding,2.1788,0.0355,0.2959,0.0948,0.0053,0.2068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1196
Bread and butter pudding ,1.718,0.0559,0.1963,0.0788,0.0098,0.1184,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6794
Queen of pudding,1.3586,0.0551,0.1635,0.0538,0.0027,0.1177,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.3292
Pineapple upside down pudding,2.6271,0.0315,0.3573,0.1191,0.008,0.2216,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.5773
Date and nut pie,3.2295,0.0393,0.4686,0.1331,0.0413,0.3118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.2242
Stewed apple with custard,0.949,0.0127,0.1836,0.0182,0.0101,0.1546,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9287
Apple snowballs,1.0455,0.0086,0.2458,0.0031,0.0125,0.194,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0151
Hot orange souffle,1.8311,0.0687,0.1877,0.0895,0.0029,0.1493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7997
Hot chocolate souffle,2.3154,0.067,0.2621,0.111,0.0012,0.2288,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2609
Hot vanilla souffle,1.9619,0.0687,0.2177,0.0907,0.0013,0.1817,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9293
Plain burfi (Burfi),4.1444,0.0982,0.3088,0.2796,0.0017,0.3043,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.0832
Coconut burfi (Nariyal ki burfi),4.7551,0.0881,0.3215,0.3463,0.035,0.315,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.6764
Bottle gourd burfi (Ghiya/Lauki burfi),2.806,0.0586,0.2451,0.1768,0.0073,0.2392,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.7596
Chocolate burfi,3.4534,0.13,0.3315,0.1786,0,0.3238,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.3933
Cashewnut burfi (Kaju burfi/Kaju katli),4.2974,0.0548,0.3792,0.2846,0.0112,0.3143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.2174
Gram flour burfi (Besan burfi),4.3281,0.1119,0.4659,0.2241,0.0341,0.2844,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.2179
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),4.3502,0.0671,0.5286,0.2186,0.0468,0.3328,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.2871
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),4.6959,0.0568,0.509,0.2703,0.0669,0.2732,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.6443
Gram flour ladoo (Besan ladoo),4.91,0.0893,0.6261,0.2276,0.0443,0.3776,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.7691
Sesame ladoo (Til ke ladoo),3.9356,0.107,0.435,0.1964,0.0772,0.3863,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,3.9696
Chenna murki,2.5968,0.1046,0.3601,0.082,0,0.3555,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.5269
Milk cake,1.2893,0.0301,0.0913,0.0893,0.0006,0.089,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2741
Ghujia/Lavang latika,7.6981,0.0186,0.13,0.7893,0.0052,0.0608,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.6898
Gulab Jamun with khoya,5.9155,0.0203,0.2609,0.5323,0.0007,0.2412,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.8606
Mal pua,5.6884,0.0171,0.1756,0.5464,0.0062,0.1177,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.6668
Shahi tukre,1.9974,0.0276,0.4146,0.0254,0.0051,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8981
Potato pakora/pakoda (Aloo pakoda),6.7832,0.019,0.0604,0.7184,0.0103,0.0022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7719
Onion pakora/pakoda (Pyaaz ke pakode),6.758,0.019,0.0541,0.7184,0.0111,0.0088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7461
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),6.7274,0.0198,0.0452,0.7186,0.0126,0.0023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7163
Mixed vegetable pakora/pakoda,6.7498,0.0194,0.0512,0.7186,0.0113,0.0038,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7381
Spinach pakora/pakoda (Palak pakoda),7.1398,0.0196,0.0468,0.7638,0.0102,0.002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1262
Methi pakora/pakoda (Methi ke pakode),7.1447,0.0206,0.0468,0.7639,0.0118,0.0025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1325
Egg pakora/pakoda (Ande ke pakode),7.1198,0.0283,0.0448,0.7586,0.0086,0.0019,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1051
Bread pakora/pakoda,7.1356,0.0257,0.0887,0.742,0.0111,0.0046,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1099
Paneer pakora/pakoda,7.1961,0.0327,0.0552,0.7605,0.0089,0.0108,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1812
Potato bonda (Aloo bonda),6.3268,0.0109,0.0453,0.678,0.0083,0.0027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.3284
Potato samosa (Aloo ka samosa),5.7639,0.0171,0.0921,0.5919,0.0119,0.0029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.7739
Minced meat samosa (Keema ka samosa),6.2062,0.0443,0.0614,0.6426,0.0039,0.005,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.2099
Paneer and pea samosa (Paneer matar ka samosa),6.2313,0.0402,0.0855,0.6365,0.0102,0.0169,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.2381
Mathri,8.0418,0.0175,0.1232,0.831,0.006,0.0029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,8.0512
Khasta kachori,7.1171,0.0251,0.1281,0.7227,0.0097,0.0034,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1273
Vegetable cutlet,6.6569,0.0125,0.0468,0.7133,0.0093,0.0035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.6545
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),7.0161,0.0176,0.0739,0.7389,0.0086,0.0027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.0171
Peanut cutlet (Mungfali ke cutlet),6.9924,0.0263,0.0568,0.74,0.0121,0.0051,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.9877
Fish cutlet (Machli ka cutlet),6.5459,0.0277,0.0313,0.7011,0.0054,0.0029,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,inferred_from_dish_name_keywords,6.5464
Paneer potato cutlet (Paneer aloo cutlet),6.734,0.0247,0.0523,0.714,0.0041,0.0102,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.7294
Spinach chickpeas cutlet (Palak channa dal cutlet),6.8788,0.0144,0.0493,0.736,0.0093,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.8803
Cheese toast,7.8687,0.0198,0.0549,0.8411,0.0031,0.0053,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.8537
Vegetable burger,5.2347,0.0326,0.1369,0.5063,0.017,0.0188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,5.1993
Cheese pizza,2.5751,0.0579,0.3062,0.1243,0.0195,0.0342,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.495
