food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Classic club sandwich,2.0496,0.0674,0.1849,0.1156,0.0162,0.0186,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0083
Sesame toast,4.9662,0.019,0.1115,0.4938,0.0132,0.0146,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.9519
Cracked wheat porridge (Meetha daliya),0.8276,0.0264,0.0887,0.0408,0.0062,0.0512,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8157
Semolina porridge (Suji/Rava daliya),1.0128,0.0375,0.1239,0.0408,0.007,0.0754,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0089
Oatmeal Porridge,0.7446,0.026,0.0877,0.0322,0.0039,0.052,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.7285
Cornflakes with milk,1.2024,0.0359,0.1495,0.0512,0.0078,0.0997,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1733
Rice flakes (Chiwda/Aval),1.1267,0.0362,0.1557,0.0399,0.0037,0.0728,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1244
Wheat flakes,1.1267,0.0362,0.1557,0.0399,0.0037,0.0728,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1244
Murmura (Puffed rice),1.1352,0.0362,0.1567,0.0404,0.0028,0.0731,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1332
Puffed wheat (Murmure/Moori),1.1352,0.0362,0.1567,0.0404,0.0028,0.0731,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1332
Boiled egg (Ubla anda),0.4556,0.0443,0.0012,0.0304,0.0011,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.4535
Fried Egg ,2.2418,0.1159,0.0031,0.1962,0.0029,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2367
Poached egg,1.2311,0.1198,0.0037,0.0819,0.003,0.0005,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2387
Scrambled egg (Ande ki bhurji),1.5645,0.1029,0.0135,0.1221,0.0024,0.0108,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.5597
Baked egg ,2.2305,0.1188,0.1542,0.1265,0.0103,0.0166,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1885
Plain omelette/omlet,2.7286,0.0966,0.0064,0.2574,0.0012,0.0051,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.7241
Stuffed egg omelette/omlet,2.0353,0.086,0.023,0.1777,0.0075,0.0157,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0351
Pancake,2.0206,0.0568,0.2049,0.1082,0.0065,0.0332,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0336
Keema pancake,1.7553,0.0901,0.0956,0.1125,0.0084,0.022,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7627
